,STATE,DISTRICT,CASES,cluster
97,ASSAM,LAKHIMPUR,26620,Low crime area
98,ASSAM,MORIGAON,17811,Very low crime area
99,ASSAM,N. C. HILLS,299,Very low crime area
100,ASSAM,N.C.HILLS,2986,Very low crime area
101,ASSAM,NAGAON,67069,High crime area
102,ASSAM,NALBARI,18554,Very low crime area
103,ASSAM,R.P.O.,1101,Very low crime area
104,ASSAM,SIBSAGAR,31727,Low crime area
105,ASSAM,SONITPUR,41712,Low crime area
106,ASSAM,STF,13,Very low crime area
107,ASSAM,TINSUKIA,30309,Low crime area
109,ASSAM,UDALGURI,8792,Very low crime area
111,BIHAR,ANTI TERRORIST SQUAD,0,Very low crime area
112,BIHAR,ARARIA,35126,Low crime area
113,BIHAR,ARWAL,9573,Very low crime area
114,BIHAR,AURANGABAD,38671,Low crime area
115,BIHAR,BAGAHA,20619,Low crime area
116,BIHAR,BANKA,23917,Low crime area
117,BIHAR,BEGUSARAI,48540,Low crime area
118,BIHAR,BETTIAH,52381,High crime area
119,BIHAR,BHABHUA,23415,Low crime area
120,BIHAR,BHAGALPUR,46789,Low crime area
121,BIHAR,BHOJPUR,50882,High crime area
122,BIHAR,BUXAR,28214,Low crime area
123,BIHAR,DARBHANGA,56425,High crime area
124,BIHAR,ECONOMIC OFFENCES UNIT,10,Very low crime area
125,BIHAR,GAYA,63283,High crime area
126,BIHAR,GOPALGANJ,39200,Low crime area
127,BIHAR,JAMALPUR RAILWAY,298,Very low crime area
128,BIHAR,JAMALPUR RLY.,3145,Very low crime area
129,BIHAR,JAMUI,22315,Low crime area
130,BIHAR,JEHANABAD,21376,Low crime area
131,BIHAR,KATIHAR,36936,Low crime area
132,BIHAR,KATIHAR RAILWAY,313,Very low crime area
133,BIHAR,KATIHAR RLY.,5442,Very low crime area
134,BIHAR,KHAGARIA,24407,Low crime area
135,BIHAR,KISHANGANJ,17269,Very low crime area
136,BIHAR,LAKHISARAI,15611,Very low crime area
137,BIHAR,MADHEPURA,22643,Low crime area
138,BIHAR,MADHUBANI,51858,High crime area
139,BIHAR,MOTIHARI,78684,High crime area
140,BIHAR,MUNGER,26689,Low crime area
141,BIHAR,MUZAFFARPUR,87646,High crime area
142,BIHAR,MUZAFFARPUR RAILWAY,596,Very low crime area
143,BIHAR,MUZAFFARPUR RLY.,7719,Very low crime area
144,BIHAR,NALANDA,58274,High crime area
145,BIHAR,NAUGACHIA,16514,Very low crime area
146,BIHAR,NAWADAH,29080,Low crime area
147,BIHAR,PATNA,152842,Very high crime area
148,BIHAR,PATNA RAILWAY,1216,Very low crime area
149,BIHAR,PATNA RLY.,13758,Very low crime area
150,BIHAR,PURNEA,41072,Low crime area
151,BIHAR,ROHTAS,51672,High crime area
152,BIHAR,SAHARSA,26297,Low crime area
153,BIHAR,SAMASTIPUR,53784,High crime area
154,BIHAR,SARAN,58552,High crime area
155,BIHAR,SHEIKHPURA,12808,Very low crime area
156,BIHAR,SHEOHAR,7499,Very low crime area
157,BIHAR,SITAMARHI,46167,Low crime area
